time,x,y,z
2024-07-30 07:56:22,1422.5,0,625.0
2024-07-30 07:56:31,1422.5,0,627.9693770267023
2024-07-30 07:56:31,1422.5,0,630.9755076674752
2024-07-30 07:56:31,1422.5,0,657.7477859576985
2024-07-30 07:56:31,1422.5,0,717.1599209547109
2024-07-30 07:56:31,1422.5,0,732.0128867120752
2024-07-30 07:56:32,1422.5,0,758.7483882558635
2024-07-30 07:56:32,1422.5,0,776.5720559517226
2024-07-30 07:56:32,1422.5,0,779.542757890217
2024-07-30 07:56:32,1422.5,0,776.5028096858166
2024-07-30 07:56:32,1422.5,0,770.5630030443186
2024-07-30 07:56:32,1422.5,0,764.6231964028216
2024-07-30 07:56:32,1422.5,0,752.6794063005755
2024-07-30 07:56:32,1422.5,0,746.7409240934297
2024-07-30 07:56:32,1422.5,0,743.7715470667276
